df_dm2tables.txt
Responsible Party:	Barry Rountree		rountree@llnl.gov
Information collected from
Intel 64 and IA-32 Architectures Software Developer's Manual
Volume 4: Model-Specific Registers


df_dm   Volume 4 tables
-------------------------------------------------------------------
06_2AH	2-20 2-21 2-22
06_2DH	2-20 2-23 2-24
06_3AH	2-20 2-21 2-22 2-25
06_3CH	2-20 2-21 2-22 2-29 2-30
06_3DH	2-20 2-21 2-22 2-25 2-29 2-30 2-34 2-35
06_3EH	2-20 2-24 2-26 2-27 2-28
06_3FH	2-20 2-29 2-32 2-33
06_45H	2-20 2-21 2-22 2-29 2-30 2-31 2-38
06_46H	2-20 2-21 2-22 2-29 2-30
06_47H	2-20 2-21 2-22 2-25 2-29 2-30 2-34 2-35
06_4EH	2-20 2-21 2-25 2-29 2-35 2-39 2-40
06_4FH	2-20 2-21 2-29 2-34 2-36 2-37 2-38
06_55H	2-20 2-21 2-25 2-29 2-35 2-39 2-50
06_56H	2-20 2-29 2-34 2-36 2-37
06_5EH	2-20 2-21 2-25 2-29 2-35 2-39 2-40
06_66H	2-20 2-21 2-25 2-29 2-35 2-39 2-40 2-42 2-43
06_6AH	2-20 2-21 2-25 2-29 2-35 2-39 2-51
06_6CH	2-20 2-21 2-25 2-29 2-35 2-39
06_7DH	2-20 2-21 2-25 2-29 2-35 2-39 2-44
06_7EH	2-20 2-21 2-25 2-29 2-35 2-39 2-44
06_8CH	2-20 2-21 2-25 2-29 2-35 2-39 2-45
06_8DH	2-20 2-21 2-25 2-29 2-35 2-39 2-45
06_8EH	2-20 2-21 2-25 2-29 2-35 2-39 2-40
06_8FH	2-52
06_97H	2-20 2-21 2-25 2-29 2-35 2-39 2-46 2-44 2-45 2-47 2-48 2-49
06_9EH	2-20 2-21 2-25 2-29 2-35 2-39 2-40 2-41
06_9AH	2-20 2-21 2-25 2-29 2-35 2-39 2-46 2-44 2-45 2-47 2-48 2-49
06_A5H	2-20 2-21 2-25 2-29 2-35 2-39
06_A6H	2-20 2-21 2-25 2-29 2-35 2-39
06_BFH	2-20 2-21 2-25 2-29 2-35 2-39 2-46 2-44 2-45 2-47 2-48 2-49




