tables2df_dm.txt
Responsible Party:	Barry Rountree		rountree@llnl.gov
Information collected from
Intel 64 and IA-32 Architectures Software Developer's Manual
Volume 4: Model-Specific Registers


table	df_dm
=========================================================================================================================================================================================================================
2-20	06_2AH 06_2DH 06_3AH 06_3CH 06_3DH 06_3EH 06_3FH 06_45H 06_46H 06_47H 06_4EH 06_4FH 06_55H 06_56H 06_5EH 06_66H 06_6AH 06_6CH 06_7DH 06_7EH 06_8CH 06_8DH 06_8EH 06_97H 06_97H 06_9EH 06_9AH 06_A5H 06_A6H 06_BFH

2-21	06_2AH 06_3AH 06_3CH 06_3DH 06_45H 06_46H 06_47H 06_4EH 06_4FH 06_55H 06_5EH 06_66H 06_6AH 06_6CH 06_7DH 06_7EH 06_8CH 06_8DH 06_8EH 06_97H 06_9EH 06_9AH 06_A5H 06_A6H 06_BFH

2-22	06_2AH 06_3AH 06_3CH 06_3DH 06_45H 06_46H 06_47H

2-23	06_2DH

2-24	06_2DH 06_3EH

2-25	06_3AH 06_3DH 06_47H 06_4EH 06_55H 06_5EH 06_66H 06_6AH 06_6CH 06_7DH 06_7EH 06_8CH 06_8DH 06_8EH 06_97H 06_9EH 06_9AH 06_A5H 06_A6H 06_BFH

2-26	06_3EH

2-27	06_3EH

2-28	06_3EH

2-29	06_3CH 06_3DH 06_3FH 06_45H 06_46H 06_47H 06_4EH 06_4FH 06_55H 06_56H 06_5EH 06_66H 06_6AH 06_6CH 06_7DH 06_7EH 06_8CH 06_8CH 06_8DH 06_8EH 06_97H 06_9EH 06_9AH 06_A5H 06_A6H 06_BFH

2-30	06_3CH 06_3DH 06_45H 06_46H 06_47H

2-31	06_45H

2-32	06_3FH

2-33	06_3FH

2-34	06_3DH 06_47H 06_4FH 06_56H

2-35	06_3DH 06_47H 06_4EH 06_55H 06_5EH 06_66H 06_6AH 06_6CH 06_7DH 06_7EH 06_8CH 06_8DH 06_8EH 06_97H 06_9EH 06_9AH 06_A5H 06_A6H 06_BFH

2-36	06_4FH 06_56H

2-37	06_4FH 06_56H

2-38	06_45H 06_4FH

2-39	06_4EH 06_55H 06_5EH 06_66H 06_6AH 06_6CH 06_7DH 06_8CH 06_8DH 06_8EH 06_97H 06_9EH 06_9AH 06_A5H 06_A6H 06_BFH

2-40	06_4EH 06_5EH 06_66H 06_8EH 06_9EH

2-41	06_9EH

2-42	06_66H

2-43	06_66H

2-44	06_7DH 06_7EH 06_97H 06_9AH 06_BFH

2-45	06_8CH 06_8DH 06_97H 06_9AH 06_BFH

2-46	06_97H 06_9AH 06_BFH

2-47	06_97H 06_9AH 06_BFH

2-48	06_97H 06_9AH 06_BFH

2-49	06_97H 06_9AH 06_BFH

2-50	06_55H

2-51	06_6AH

2-52	06_8FH

